table[0]:  3 1
table[19581]: agenor 0 1
table[19583]: adranos 0 3
table[19585]: horseway 0 2
table[19587]: europeans 17 3
table[19590]: stations 15 4
table[19594]: paulina 83 2
table[19596]: calibans 0 1
table[19599]: brevig 0 1
table[19600]: tailors 6 1
table[19602]: massacres 3 1
table[19605]: enacted 12 1
table[19606]: davids 0 1
table[19611]: brevis 1 1
table[19613]: roscoe's 0 3
table[19617]: 'had 1 1
table[19618]: confusions 1 1
table[19620]: swol'n 4 1
table[19622]: prodigious 6 1
table[19628]: alarms 0 1
table[19629]: betrekkingen 0 3
table[19630]: display 10 1
table[19633]: atnall 0 1
table[19634]: designated 2 2
table[19635]: baker 1 2
table[19637]: davies 0 1
table[19638]: thicknesses 4 2
table[19639]: strife 39 1
table[19641]: erh 0 4
table[19642]: sethos 0 1
table[19643]: shoal 1 1
table[19644]: springhalt 0 1
table[19645]: shoan 0 1
table[19646]: liquefied 3 4
table[19648]: incensing 0 1
table[19649]: offspring 13 1
table[19650]: environment 5 1
table[19651]: verily 10 1
table[19652]: sierra 3 1
table[19653]: liquidation 0 3
table[19654]: gallia 15 2
table[19655]: stretch'd 13 1
table[19658]: complain'd 0 1
table[19659]: aberriation 0 1
table[19661]: sanctuary 18 2
table[19664]: lechery 17 1
table[19665]: specifications 0 1
table[19667]: daimon 0 1
table[19669]: montmorency 0 1
table[19676]: adis 13 1
table[19677]: gin 5 3
table[19678]: unfavourable 5 3
table[19680]: read'st 0 1
table[19685]: mulieres 0 3
table[19687]: tsountas's 1 1
table[19693]: rig'st 0 2
table[19694]: residences 6 1
table[19698]: saying 76 1
table[19699]: distinctly 16 1
table[19700]: bestir 1 1
table[19701]: providently 0 1
table[19703]: reclaim'd 1 1
table[19704]: shock 10 1
table[19706]: gabas 0 1
table[19709]: repentant 1 1
table[19710]: leak'd 0 1
table[19713]: ruin'd 9 1
table[19715]: opera 6 4
table[19716]: arithmetic 9 1
table[19720]: black'' 0 1
table[19722]: schiaparelli 0 1
table[19724]: haughtiness 0 1
table[19727]: nobleman 25 1
table[19728]: runners 1 1
table[19730]: deportment'' 0 1
table[19732]: est' 0 2
table[19736]: coinceived 0 1
table[19737]: agents 15 1
table[19738]: latch 1 2
table[19740]: subjects 96 2
table[19741]: differential 1 3
table[19743]: unanel'd 0 1
table[19744]: monochromat 0 1
table[19749]: adeler 0 2
table[19750]: 'hem 1 1
table[19751]: traverses 2 2
table[19752]: rebels 31 2
table[19757]: rllstricts 0 1
table[19761]: cevus 0 2
table[19763]: mutest 0 1
table[19764]: benefices 9 1
table[19766]: irritant 0 1
table[19769]: gesture 7 1
table[19770]: offshoots 1 1
table[19771]: nakedness 3 1
table[19774]: shoes 28 1
table[19775]: aperture 35 1
table[19777]: impounded 0 1
table[19778]: amorgos 0 2
table[19780]: flavius' 0 2
table[19781]: behaviours 5 1
table[19782]: electricitatis 0 1
table[19786]: cottage 7 1
table[19789]: apter 1 1
table[19792]: urgent 5 1
table[19793]: babes' 0 1
table[19794]: strike 156 1
table[19796]: commoners 5 1
table[19797]: property 60 1
table[19798]: swallow 15 1
table[19800]: unmarried 3 2
table[19801]: inchcolm 0 1
table[19802]: lurch'd 0 1
table[19806]: descension 0 1
table[19807]: jurists 2 1
table[19810]: lingual 0 2
table[19813]: lodovico 45 1
table[19814]: bulls' 0 1
table[19816]: justified 10 1
table[19817]: schist 0 2
table[19819]: koreishite 0 1
table[19823]: cretans 1 1
table[19828]: commonest 4 1
table[19829]: strengthening 3 1
table[19830]: inadequate 1 1
table[19831]: justifies 1 1
table[19835]: anatomical 3 2
table[19836]: invincible 3 1
table[19837]: mansions 0 2
table[19840]: triangulation 0 1
table[19841]: imperial 55 1
table[19846]: circulations 0 2
table[19848]: rounded 7 2
table[19851]: noblemen 10 1
table[19852]: titan 2 1
table[19855]: wiped 3 2
table[19857]: adon 0 1
table[19861]: uds 0 1
table[19862]: unconquerable 0 1
table[19863]: petition 33 1
table[19864]: 'hic 7 1
table[19870]: alarum 85 1
table[19873]: cabrol 0 1
table[19877]: callat 0 2
table[19879]: verite 1 1
table[19880]: vaumond 0 1
table[19884]: originally 72 1
table[19886]: lydians 0 2
table[19888]: remember 208 1
table[19889]: string 7 1
table[19891]: bestow 49 1
table[19893]: phillips 1 1
table[19894]: task'd 2 1
table[19895]: manchuria 0 1
table[19896]: edgitha 0 1
table[19897]: complexioned 0 1
table[19898]: 'perceive 0 1
table[19899]: contains 103 1
table[19900]: tanlings 0 1
table[19901]: hakhamani 0 1
table[19902]: dang'rous 0 1
table[19904]: paragons 0 1
table[19906]: eagle's 2 3
table[19908]: popilius 7 2
table[19910]: hope'' 0 2
table[19912]: ashamed 8 1
table[19913]: diaconus 0 2
table[19916]: one'' 0 3
table[19917]: cursed'st 0 2
table[19918]: role 0 2
table[19920]: pethaps 1 1
table[19922]: hierarchical 0 1
table[19923]: intoxicates 0 1
table[19925]: helots 0 1
table[19927]: relatives 2 1
table[19928]: stratagemata 0 4
table[19932]: pulmonary 0 2
table[19933]: scatter 3 1
table[19935]: seething 1 3
table[19936]: deutschlands 1 1
table[19937]: adra 3 1
table[19938]: pluto 3 2
table[19941]: counselling 0 1
table[19943]: ugh 1 1
table[19947]: urgest 1 1
table[19948]: majoris 0 2
table[19949]: lartius 40 2
table[19955]: thirsts 0 1
table[19959]: lambert's 0 1
table[19961]: thirsty 6 1
table[19963]: strips 2 1
table[19964]: centralization 1 2
table[19968]: moscow 0 5
table[19975]: dosing 0 2
table[19976]: widening 1 3
table[19978]: homewards 0 2
table[19979]: piedness 0 2
table[19983]: intendment 2 1
table[19996]: alcoholic 13 1
table[20000]: decided 31 1
table[20001]: young' 0 1
table[20004]: mechanical 14 1
table[20006]: victoress 0 2
table[20010]: attribute 10 2
table[20012]: arist 0 3
table[20013]: aptly 6 1
table[20015]: decides 1 1
table[20017]: completion 4 2
table[20019]: fitting 16 1
table[20020]: dupp'd 0 1
table[20021]: strappado 0 2
table[20023]: norge 0 1
table[20029]: mastic 1 2
table[20030]: adua 2 1
table[20033]: sentence 66 1
table[20036]: berattle 0 1
table[20038]: peace 584 1
table[20039]: shone 4 1
table[20040]: stupid 8 1
table[20041]: peach 5 1
table[20045]: establish 20 1
table[20047]: accountants 40 1
table[20050]: budapest 0 1
table[20052]: ordure 0 1
table[20054]: dropping 10 1
table[20055]: install'd 3 1
table[20057]: money'' 1 1
table[20058]: dream'd 9 2
table[20059]: executions 2 1
table[20060]: tithe 5 1
table[20061]: jnhn 0 2
table[20062]: arrest 36 1
table[20063]: developments 9 1
table[20066]: polished 6 1
table[20070]: 'how 4 1
table[20072]: contemn'd 2 2
table[20073]: bnrra 0 1
table[20076]: shook 38 1
table[20077]: hassall 2 1
table[20079]: shoon 1 1
table[20082]: surrogate 0 7
table[20084]: cicatrice 2 1
table[20085]: shoot 28 1
table[20086]: editionem 0 2
table[20087]: meteorology 0 2
table[20089]: temlple 0 2
table[20090]: rosella 1 2
table[20091]: antipater 0 2
table[20094]: gnaw'd 1 2
table[20095]: paupers' 0 4
table[20096]: acid'' 2 2
table[20098]: expiate 1 1
table[20101]: repair'd 0 2
table[20102]: rood 6 2
table[20103]: ulm 0 1
table[20105]: grouping 2 1
table[20107]: precor 0 1
table[20110]: ult 0 1
table[20115]: shops 3 1
table[20116]: posture 5 1
table[20118]: money'd 0 1
table[20120]: frankfurt 0 1
table[20123]: umb 0 1
table[20124]: langton 0 2
table[20125]: callet 2 2
table[20128]: projects 8 1
table[20130]: romae 0 3
table[20132]: nissen 0 1
table[20133]: money's 2 1
table[20135]: strive 32 1
table[20138]: desecrated 0 2
table[20141]: rescued 6 1
table[20143]: lincoln's 0 1
table[20145]: easby 1 2
table[20148]: ordinationibus 0 1
table[20150]: galloway 3 1
table[20151]: hitting 1 1
table[20153]: frowned 0 3
table[20156]: rescues 1 1
table[20157]: une 2 1
table[20158]: emperor's 24 1
table[20160]: zodiacs 0 5
table[20161]: brickwork 0 1
table[20163]: shore 89 1
table[20166]: unkindness 22 1
table[20167]: eschew'd 0 1
table[20172]: shorn 1 1
table[20174]: grew 50 1
table[20175]: beranger 0 1
table[20176]: grey 105 1
table[20177]: maryland 2 1
table[20178]: short 198 1
table[20184]: title 200 1
table[20185]: soil'd 3 1
table[20187]: pathological 2 1
table[20189]: envelop 1 1
table[20191]: nahor's 0 1
table[20194]: idaeae 0 3
table[20195]: arius 0 3
table[20196]: abstains 0 1
table[20197]: sphinx 0 3
table[20198]: d'fscalona 0 1
table[20200]: soil's 0 1
table[20202]: sensibilities 1 3
table[20203]: archaeological 5 1
table[20204]: ovvero 0 1
table[20205]: howl'st 0 1
table[20209]: cushes 0 1
table[20210]: antipholus 218 1
table[20215]: stingless 0 1
table[20219]: granye 1 2
table[20220]: novice 2 3
table[20224]: reverend 55 2
table[20228]: caesarion 1 1
table[20230]: thunder's 1 2
table[20234]: masses 13 1
table[20235]: melodious 6 2
table[20237]: bloodless 5 1
table[20238]: versuchen 0 3
table[20240]: ailanthus 0 3
table[20242]: niece 62 1
table[20246]: 'hum 0 1
table[20248]: peasants 8 1
table[20249]: ruin's 0 2
table[20250]: us' 0 1
table[20252]: antiquitatum 0 1
table[20253]: cows' 1 1
table[20256]: reverent 7 2
table[20258]: image 93 1
table[20263]: mouthed 1 1
table[20267]: regnault 0 1
table[20268]: imago 0 1
table[20269]: unhistorical 1 1
table[20270]: hence 398 1
table[20271]: shout 23 1
table[20272]: wights 1 1
table[20273]: tableland 4 2
table[20274]: owest 3 1
table[20275]: christological 0 3
table[20277]: paradies 0 1
table[20279]: grid 9 1
table[20280]: grievance 7 1
table[20282]: satisfied 50 1
table[20283]: suckle 1 2
table[20284]: thyreatis 0 2
table[20286]: constitutiom 0 2
table[20287]: shove 1 1
table[20288]: grim 16 1
table[20289]: grin 11 1
table[20290]: urn 2 1
table[20291]: grip 0 1
table[20293]: oweth 0 1
table[20295]: urs 18 1
table[20296]: sixteenth 0 1
table[20297]: satisfies 0 1
table[20298]: pharmacopoeia 5 3
table[20300]: peaks 7 1
table[20301]: cineia 0 3
table[20303]: epitomes 0 4
table[20305]: kal 0 2
table[20306]: carbide 52 1
table[20307]: adversity 6 1
table[20310]: illuminant 1 1
table[20311]: apathetic 1 1
table[20312]: use 759 1
table[20318]: intrigue 1 1
table[20319]: divorcement 0 1
table[20320]: simpleness 4 1
table[20321]: pyrrhus' 2 1
table[20322]: penestae 0 1
table[20325]: woollen 6 1
table[20326]: defiler 0 1
table[20327]: shown 87 1
table[20328]: passarge's 0 1
table[20329]: everett 0 2
table[20331]: peals 0 1
table[20332]: shows 154 1
table[20335]: hittite 2 1
table[20337]: clients 3 2
table[20338]: showy 2 1
table[20339]: wallace 9 2
table[20341]: incorrectly 1 1
table[20342]: ingredient 8 1
table[20343]: bawds 5 1
table[20344]: incurr'd 2 1
table[20345]: massif 1 1
table[20347]: uti 0 1
table[20349]: bawdy 12 1
table[20354]: cattegat 0 1
table[20355]: stanley 60 1
table[20356]: kabbalistic 0 2
table[20359]: bay'd 2 1
table[20364]: norre 0 1
table[20366]: patriots 0 2
table[20368]: fleshment 0 1
table[20370]: purged 2 1
table[20371]: poking 0 1
table[20372]: brigades 1 2
table[20377]: turmeric 3 3
table[20380]: adoptian 2 1
table[20381]: march 224 1
table[20382]: marci 0 1
table[20387]: savageness 2 1
table[20388]: plessing 0 2
table[20391]: esteems 4 1
table[20392]: rosy 2 2
table[20394]: vanishing 2 1
table[20395]: norse 0 1
table[20397]: modification 8 2
table[20398]: dominion 8 1
table[20402]: energy 24 1
table[20403]: trundle 0 1
table[20404]: ampthill 0 1
table[20405]: enice 0 4
table[20406]: helped 8 1
table[20407]: preambulate 0 1
table[20409]: observation 29 1
table[20412]: patrimony 3 1
table[20413]: alcohol 21 1
table[20416]: bulmer 0 1
table[20418]: lemniscus 1 1
table[20419]: flatteries 6 1
table[20420]: helper 4 1
table[20423]: melons 0 3
table[20429]: north 298 1
table[20432]: hasseh 0 5
table[20435]: trampling 0 1
table[20436]: overlooked 2 1
table[20437]: famous 103 1
table[20439]: burlesque 0 1
table[20442]: rots 0 2
table[20445]: miranda 66 1
table[20447]: singularly 6 1
table[20448]: nergal 0 1
table[20451]: characteristically 0 1
table[20452]: inspection 5 1
table[20454]: mares 1 1
table[20458]: assistance 46 1
table[20460]: stocks 27 1
table[20461]: farewells 1 1
table[20462]: imperium 2 1
table[20465]: corruptible 0 1
table[20467]: montgomery 10 1
table[20468]: additional 12 1
table[20470]: outcome 5 2
table[20471]: tapering 3 1
table[20475]: patriotically 0 6
table[20477]: titus 215 1
table[20479]: verlaine 0 1
table[20480]: gros 1 1
table[20481]: illuminate 1 1
table[20484]: grow 159 1
table[20485]: corruptibly 0 1
table[20491]: heark'ned 0 1
table[20493]: protected 11 1
table[20495]: noedre 0 3
table[20496]: espies 1 2
table[20498]: yarely 1 1
table[20500]: scorpion's 0 1
table[20502]: peard 1 1
table[20506]: slopes 6 1
table[20508]: indecent 4 3
table[20510]: pearl 28 1
table[20512]: impoverished 2 8
table[20513]: tratado 0 3
table[20517]: pears 2 1
table[20519]: subsequent 37 1
table[20520]: pastorals 0 1
table[20522]: gricchische 0 2
table[20523]: coldness 2 1
table[20524]: loiter 0 1
table[20526]: tombless 0 1
table[20527]: unsymmetrical 0 1
table[20530]: anan 0 4
table[20531]: m'a 0 2
table[20534]: broiling 0 2
table[20535]: fired 2 1
table[20536]: spirals 0 5
table[20537]: thatch'd 2 1
table[20538]: rove 0 2
table[20540]: sandbanks 1 3
table[20542]: adenes 5 3
table[20543]: vainglory 0 2
table[20544]: satisfy 33 1
table[20545]: uzu 0 1
table[20549]: butcher 19 1
table[20550]: partaker 2 2
table[20552]: ordinates 5 1
table[20554]: cyclopes 0 1
table[20555]: comes't 0 1
table[20557]: honors 10 2
table[20558]: heinrich 8 2
table[20559]: dal 0 6
table[20560]: maria 119 1
table[20563]: adenez 0 3
table[20564]: fetching 0 1
table[20568]: voltmeter 2 1
table[20570]: carborundum 0 2
table[20571]: pal'd 0 3
table[20574]: santorin 1 1
table[20575]: perceiv'd 8 2
table[20577]: unthrifts 1 1
table[20579]: squier 1 1
table[20583]: unthrifty 4 1
table[20585]: peaty 1 1
table[20586]: likings 1 1
table[20587]: disbursement 0 2
table[20589]: baptista 106 1
table[20591]: unbred 0 1
table[20593]: baptiste 0 1
table[20594]: swooning 1 1
table[20597]: ks 1 6
table[20602]: disannul 0 1
table[20611]: cardboard 1 1
table[20613]: fortinbras 14 1
table[20614]: mildest 2 1
table[20618]: evaporation 1 3
table[20623]: auchterless 0 2
table[20624]: stamping 2 1
table[20625]: flattened 1 2
table[20626]: gallows' 0 1
table[20627]: correspondingly 2 1
table[20629]: ailments 0 1
table[20632]: prosecuting 0 2
table[20633]: certain 398 1
table[20634]: sympathetic 3 1
table[20636]: marko 0 1
table[20637]: patch'd 7 1
table[20638]: fishmonger 1 1
table[20639]: lotteries 0 3
table[20640]: marks 42 1
table[20643]: shame's 2 1
table[20649]: grub 3 1
table[20651]: mudded 1 1
table[20652]: basile 0 4
table[20654]: brimstone 4 3
table[20656]: wander 21 1
table[20657]: marle 0 1
table[20659]: samosata 0 1
table[20663]: vacancies 3 2
table[20664]: return'd 49 1
table[20666]: damasked 0 1
table[20667]: sulphuretted 8 1
table[20669]: plane 25 3
table[20670]: sedges 2 1
table[20671]: ebb'd 1 1
table[20672]: 'if' 0 1
table[20677]: purpos'd 14 2
table[20680]: sicilia 26 1
table[20686]: flattering 18 1
table[20691]: seine 2 1
table[20693]: clept 0 2
table[20694]: students 19 4
table[20697]: paradise 23 1
table[20701]: unscorch'd 0 2
table[20704]: hens' 0 1
table[20706]: pococke 0 1
table[20710]: knock'd 9 1
table[20711]: plans 9 3
table[20715]: nach 2 1
table[20717]: gambold 0 1
table[20719]: olympus 5 1
table[20723]: bodkin's 0 1
table[20724]: burdens 7 1
table[20725]: dowsabel 0 1
table[20728]: enshielded 0 1
table[20729]: vas 2 1
table[20730]: ribb'd 2 1
table[20731]: sumptuous 5 1
table[20732]: gambols 2 1
table[20733]: capital 85 1
table[20734]: aalesund 3 1
table[20737]: mildews 0 1
table[20739]: henri 3 1
table[20743]: provender 4 1
table[20744]: ingham 0 1
table[20747]: embittered 1 1
table[20749]: hermits' 0 1
table[20752]: repulsing 0 2
table[20754]: pastorate 1 1
table[20755]: henry 637 1
table[20757]: farthingales 0 1
table[20758]: losing 26 1
table[20759]: deceived 16 1
table[20760]: retailers 2 1
table[20762]: unswayable 0 1
table[20763]: gud 6 3
table[20765]: aeacides 0 1
table[20772]: mental 16 3
table[20773]: deceiver 0 1
table[20774]: deceives 2 1
table[20775]: touched 7 1
table[20776]: adopting 7 1
table[20778]: hurdle 1 1
table[20779]: ejusmodi 0 1
table[20781]: pantomimes 0 1
table[20782]: inaugural 0 1
table[20784]: expounds 0 1
table[20787]: mycenaean'' 1 1
table[20789]: machination 0 1
table[20790]: touches 28 1
table[20793]: thaw'd 1 1
table[20794]: dainty 20 1
table[20796]: banquo's 5 1
table[20798]: firms 6 1
table[20805]: nafe 0 1
table[20808]: seethes 0 2
table[20809]: pycnantha 0 2
table[20811]: haureau 0 1
table[20814]: adoption 34 1
table[20817]: protector 52 1
table[20818]: aeon 0 1
table[20819]: didascalicon 0 1
table[20820]: ceylonese 0 1
table[20822]: gutter'd 0 2
table[20823]: suspire 1 1
table[20827]: abyssinia 106 1
table[20829]: livelier 0 1
table[20831]: abyssinie 0 1
table[20834]: harmonies 0 1
table[20836]: abhorrers 2 1
table[20839]: unapt 3 1
table[20840]: concord 10 1
table[20841]: thirties 0 1
table[20844]: surveyors 0 1
table[20845]: colic 2 2
table[20850]: nags 0 1
table[20852]: ver 16 1
table[20854]: qualifications 4 2
table[20855]: alienated 1 1
table[20856]: xliii 0 2
table[20858]: vex 18 1
table[20859]: chocolate 8 1
table[20860]: nose' 0 1
table[20862]: lanceth 0 1
table[20863]: marry 371 1
table[20865]: squiny 0 1
table[20866]: amazonas 0 1
table[20867]: repugn 0 1
table[20868]: cedrenus 0 1
table[20869]: muddle 0 1
table[20877]: marsh 1 1
table[20878]: mortada 0 1
table[20880]: nahr 0 1
table[20884]: hissariik 0 1
table[20885]: exposes 0 2
table[20890]: approv'd 4 1
table[20892]: commerciaux 0 2
table[20893]: endothelium 0 2
table[20894]: treasure's 0 1
table[20897]: spicatum 0 1
table[20898]: aera 0 1
table[20899]: courteous 22 1
table[20902]: aere 0 1
table[20904]: again 957 1
table[20905]: nail 13 1
table[20907]: vouched 0 1
table[20908]: commanded 59 1
table[20909]: marti 1 1
table[20910]: excellence 25 1
table[20912]: cyclops' 1 1
table[20913]: converge 0 3
table[20914]: diverticula 1 1
table[20916]: expiation 1 2
table[20917]: scoticus 0 1
table[20918]: crouching 1 2
table[20919]: 'ild 0 1
table[20920]: expel 4 1
table[20921]: voucher 0 1
table[20922]: commander 38 1
table[20925]: archabbot 0 1
table[20926]: sluttish 3 1
table[20929]: affright 8 1
table[20930]: smells 11 2
table[20934]: travelling 9 1
table[20936]: noses 15 1
table[20938]: olein 1 4
table[20939]: whooping 0 1
table[20940]: ashangi 2 1
table[20941]: batt'ring 0 1
table[20942]: salisbury 146 4
table[20945]: limited'' 0 1
table[20948]: spiteful 2 1
table[20949]: furnishes 1 1
table[20952]: blear'd 0 1
table[20954]: observed 50 4
table[20955]: bruised 4 1
table[20959]: buying 0 1
table[20961]: equalities 0 1
table[20962]: vid 0 1
table[20963]: vie 7 1
table[20965]: bark'd 1 1
table[20966]: sheathe 8 1
table[20967]: vii 57 1
table[20968]: acoustic 2 1
table[20969]: squire 14 1
table[20970]: bruises 1 1
table[20972]: thenard 1 1
table[20976]: distress'd 4 1
table[20981]: japbenzaconine 0 1
table[20984]: viz 15 1
table[20985]: first 1898 1
table[20986]: encyclopaedists 1 2
table[20987]: crushed 9 1
table[20988]: gehenna 0 3
table[20990]: becomings 0 1
table[20991]: exchequers 0 1
table[20995]: turquoise 0 1
table[20997]: zaccaria 0 2
table[20999]: assistants 4 1
table[21003]: quintain 0 1
table[21004]: firth 1 1
table[21005]: signifies 7 1
table[21006]: thaddaei 0 1
table[21008]: aboyne 0 1
table[21009]: aeus 0 1
table[21010]: sun's 14 1
table[21011]: musqueteers 0 1
table[21012]: dolezalek's 0 1
table[21013]: fifty 60 2
table[21015]: speak't 1 1
table[21016]: acridotheros 0 2
table[21017]: unpriz'd 0 1
table[21018]: clear'd 5 1
table[21019]: agame 1 1
table[21020]: alacrity 3 1
table[21021]: axeheads 0 1
table[21022]: name 993 1
table[21024]: burthen 5 1
table[21025]: hairless 0 1
table[21027]: dama 0 2
table[21030]: absorbed 22 1
table[21031]: isole 0 1
table[21032]: namo 0 1
table[21033]: fat'' 3 3
table[21036]: allotted 4 1
table[21038]: vessel's 0 2
table[21045]: lehrbuch 3 1
table[21046]: imbar 0 1
table[21052]: maintaining 3 3
table[21057]: rearing 2 1
table[21060]: hyperborean 1 1
table[21062]: caliphate 7 1
table[21063]: seize 35 1
table[21064]: decorate 2 1
table[21065]: ismail 0 1
table[21067]: discoverable 1 2
table[21068]: stymphalus 0 4
table[21070]: arragon 9 2
table[21071]: cittern 0 2
table[21074]: carnallite 0 1
table[21075]: 'is' 1 1
table[21082]: naoc 0 1
table[21083]: transference 3 2
table[21084]: nuremberg 3 1
table[21085]: wounding 7 1
table[21087]: assimilation 4 2
table[21088]: juncture 1 3
table[21089]: epicurus 0 2
table[21090]: hirschig 0 1
table[21095]: libertines 0 1
table[21096]: menses 0 1
table[21097]: meetest 1 1
table[21098]: characters 31 2
table[21100]: carved 19 1
table[21101]: julietta's 0 1
table[21102]: limbecks 0 1
table[21103]: jakes 0 1
table[21109]: derivative 8 2
table[21113]: scimitar's 0 3
table[21114]: carver 0 1
table[21115]: unnaturalness 0 1
table[21119]: thymbraeus 0 1
table[21120]: lithuanian 1 1
table[21121]: kinship 0 2
table[21123]: decorum 3 1
table[21129]: naps 0 1
table[21134]: sculptures 3 2
table[21135]: whereabout 1 1
table[21140]: procuring 2 1
table[21142]: thenceforward 1 2
table[21144]: corrupt 31 2
table[21145]: acceded 0 1
table[21147]: cannibals 5 1
table[21152]: abjurare 0 1
table[21153]: cadence 0 1
table[21155]: getrude 0 1
table[21156]: vol 106 1
table[21157]: vom 0 1
table[21158]: von 41 1
table[21159]: betonung'' 0 1
table[21162]: vor 1 1
table[21164]: armada'' 0 1
table[21166]: testril 0 3
table[21167]: vow 82 1
table[21168]: vox 0 1
table[21170]: inhuman 8 1
table[21171]: mishap 1 2
table[21172]: quadrant 0 1
table[21175]: easter 4 2
table[21176]: mudiria 0 1
table[21177]: semites 3 1
table[21180]: masted 0 1
table[21182]: investigation 17 1
table[21185]: assails 1 1
table[21188]: triplex 0 1
table[21190]: apparently 35 1
table[21193]: servitors 2 1
table[21194]: master 827 1
table[21202]: sulky 3 1
table[21203]: italia 0 2
table[21205]: angel' 0 1
table[21206]: iphigeneia 0 3
table[21207]: italic 0 2
table[21209]: sulla 1 1
table[21211]: ambrosia 0 3
table[21215]: meiringen 0 2
table[21218]: naso 1 1
table[21220]: mensis 1 1
table[21221]: clinical 3 5
table[21223]: peretti 1 2
table[21224]: disturbers 1 2
table[21226]: robinson 1 6
table[21227]: apish 4 2
table[21230]: yongrey 0 1
table[21232]: regard 118 1
table[21233]: sully 2 1
table[21235]: unarm'd 6 1
table[21236]: agate 4 1
table[21238]: crocodile 6 1
table[21239]: epistrophus 0 1
table[21241]: hiding 10 1
table[21246]: apprehension 15 1
table[21247]: baring 0 1
table[21250]: awakened 1 2
table[21251]: inconstant 10 1
table[21252]: mitchell's 0 1
table[21253]: grouped 8 1
table[21257]: symbolic 0 3
table[21259]: smooth'st 0 1
table[21260]: o'erleaps 0 1
table[21261]: repute 17 1
table[21262]: lineament 1 1
table[21263]: excelling 1 1
table[21264]: laundries 0 1
table[21266]: abaelardus 0 2
table[21267]: toad 17 1
table[21271]: ere't 4 1
table[21274]: illustrated 14 1
table[21276]: nauk 0 1
table[21277]: angelo 209 1
table[21279]: lotions 0 1
table[21280]: impaint 0 1
table[21281]: angels 39 1
table[21282]: transformations 0 2
table[21285]: bloxam 0 5
table[21289]: soothers 0 1
table[21291]: 'clubs 0 1
table[21292]: monstruosity 0 1
table[21293]: thou'lt 15 1
table[21297]: lik'st 2 1
table[21298]: regiments 2 1
table[21301]: nave 33 1
table[21303]: kingdoms 28 1
table[21307]: creature 74 1
table[21309]: 'ninus' 0 3
table[21310]: pestilent 6 1
table[21313]: utrecht 2 1
table[21314]: geirstein 0 1
table[21315]: walworth 0 1
table[21317]: contumeliously 0 1
table[21319]: toby 205 1
table[21321]: navy 93 1
table[21322]: salomo 0 1
table[21324]: harmonium 2 1
table[21325]: injuriously 3 4
table[21326]: theudericus 0 8
table[21333]: unbar 1 1
table[21334]: wholesome 32 1
table[21335]: discredited 2 1
table[21336]: tock 0 1
table[21337]: minist'ring 0 1
table[21340]: enlard 0 1
table[21341]: cutlery 1 2
table[21342]: picric 1 4
table[21343]: abominable'' 1 1
table[21344]: supplement 1 1
table[21345]: motions 18 1
table[21349]: afar 20 1
table[21350]: ultimo 0 4
table[21351]: mush 0 2
table[21354]: lanch'd 0 1
table[21356]: intercepted 5 1
table[21357]: musk 5 2
table[21358]: likeness 24 1
table[21361]: adobar 0 2
table[21363]: ravenspurgh 8 1
table[21370]: cashier'd 3 1
table[21373]: maltese 0 1
table[21374]: classes 30 3
table[21375]: tods 0 1
table[21378]: farthing 3 1
table[21381]: mercurio 0 1
table[21382]: enwraps 0 2
table[21386]: renewest 0 1
table[21388]: chooser 0 2
table[21389]: diomedes' 0 1
table[21390]: unremovably 0 2
table[21391]: pastimes 1 4
table[21392]: streptotrichosis 1 2
table[21393]: adorf 1 5
table[21396]: jakob 1 1
table[21397]: investments 1 1
table[21398]: etna 0 2
table[21401]: assassination 3 1
table[21402]: porcelain 1 1
table[21403]: ponderous 2 2
table[21404]: theologiae 1 1
table[21406]: toes 7 1
table[21408]: bildungen 0 1
table[21410]: recension 0 2
table[21411]: notions 1 1
table[21412]: beautifully 5 1
table[21413]: bursting 1 1
table[21415]: scrittori 0 3
table[21416]: unforfeited 0 2
table[21417]: mexico 11 2
table[21419]: everlasting 21 1
table[21423]: ademar 2 2
table[21424]: tragedy 25 1
table[21425]: sweeten 8 3
table[21426]: josephus 8 1
table[21432]: canopied 3 1
table[21433]: fulminating 0 2
table[21434]: halogen 1 2
table[21435]: lives 235 2
table[21439]: fisci 0 1
table[21442]: topful 0 1
table[21445]: fisco 0 1
table[21447]: canopies 1 1
table[21449]: felibien 0 1
table[21450]: receivers 0 1
table[21451]: efface 0 1
table[21453]: cedars 1 1
table[21454]: apprehensive 2 1
table[21456]: unduteous 0 1
table[21457]: composed 46 1
table[21461]: data 10 2
table[21462]: eucalyptus 0 1
table[21463]: enrobe 0 1
table[21465]: ang'red 3 1
table[21467]: angers 3 1
table[21470]: overdone 23 2
table[21471]: composer 0 1
table[21472]: agreements 1 1
table[21476]: theologico 0 1
table[21478]: kolbe 0 1
table[21479]: propagate 3 1
table[21480]: orators 3 1
table[21482]: receivest 1 1
table[21486]: oratory 11 1
table[21489]: occasionally'' 0 5
table[21494]: precautions 4 3
table[21496]: pronouncement 0 2
table[21498]: featherheadedness 0 3
table[21499]: banchory 0 1
table[21501]: receiveth 0 1
table[21503]: pensioned 1 1
table[21508]: eggshell 0 1
table[21509]: huntress' 0 1
table[21510]: thou'st 1 1
table[21511]: affy 1 1
table[21512]: levell'd 2 1
table[21513]: unregist'red 0 1
table[21514]: torry 0 3
table[21515]: diffidences 0 1
table[21517]: gabriel's 0 1
table[21519]: increased 51 2
table[21522]: pumpion 0 1
table[21523]: toil 30 1
